tier,category,title,date,url,status,operational_use
A,engineering,Building effective agents,2024-12-19,https://www.anthropic.com/engineering/building-effective-agents,Current,Simple composable agent patterns; distinguish workflows from agents.
A,engineering,Effective context engineering for AI agents,2025-09-29,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents,Current,"Optimize the smallest high-signal context; use compaction, memory, and subagents."
A,engineering,How we built our multi-agent research system,2025-06-13,https://www.anthropic.com/engineering/multi-agent-research-system,Current,"Breadth-first orchestration, isolated contexts, source-quality rubrics, and token-cost tradeoffs."
A,engineering,Effective harnesses for long-running agents,2025-11-26,https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents,Current,Initializer plus incremental worker; durable artifacts across context windows.
A,engineering,Demystifying evals for AI agents,2026-01-09,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,Current,"Grade final state, transcript, and response; use trials and explicit harnesses."
A,engineering,Writing effective tools for agents — with agents,2025-09-11,https://www.anthropic.com/engineering/writing-tools-for-agents,Current,"Tool boundaries, namespacing, concise returns, and eval-driven optimization."
B,engineering,Building agents with the Claude Agent SDK,,https://www.anthropic.com/engineering/building-agents-with-the-claude-agent-sdk,Current,"Tools as primary actions, subagents for context isolation, and verification."
B,engineering,The think tool: Enabling Claude to stop and think,2025-03-20,https://www.anthropic.com/engineering/claude-think-tool,Legacy/conditional,Historical structured-thought tool; current thinking is preferred for most cases.
A,engineering,How we contain Claude across products,2026,https://www.anthropic.com/engineering/how-we-contain-claude,Current,"Prompts are probabilistic; enforce containment, egress, and filesystem boundaries."
A,engineering,Making Claude Code more secure and autonomous with sandboxing,2025,https://www.anthropic.com/engineering/claude-code-sandboxing,Current,Filesystem and network isolation for agents.
B,engineering,Eval awareness in Claude Opus 4.6’s BrowseComp performance,2026-03-06,https://www.anthropic.com/engineering/eval-awareness-browsecomp,Current,Benchmark contamination and evaluation recognition in web-enabled agents.
B,research,A global workspace in language models,2026,https://www.anthropic.com/research/global-workspace,Current research,J-space; affirmative steering and externally verified decomposition.
B,research,Teaching Claude why,2026,https://www.anthropic.com/research/teaching-claude-why,Current research,Principles and rationales can generalize better than demonstrations alone.
B,research,Natural Language Autoencoders,2026,https://www.anthropic.com/research/natural-language-autoencoders,Current research,Readable activation summaries remain imperfect interpretations.
B,research,Tracing the thoughts of a large language model,2025-03-27,https://www.anthropic.com/research/tracing-thoughts-language-model,Current research,Internal planning and stated reasoning can diverge.
B,research,Signs of introspection in large language models,2025-10-29,https://www.anthropic.com/research/introspection,Current research,Introspection is limited and unreliable; do not rely on self-diagnosis.
B,research,Reasoning models do not always say what they think,2025-04-03,https://www.anthropic.com/research/reasoning-models-dont-say-think,Current research,Visible CoT often omits influential hints; outcome monitoring is necessary.
C,research,Measuring Faithfulness in Chain-of-Thought Reasoning,2023-07-18,https://www.anthropic.com/research/measuring-faithfulness-in-chain-of-thought-reasoning,Foundational,CoT faithfulness varies and can decline with model capability.
C,research,Question Decomposition Improves the Faithfulness of Model-Generated Reasoning,2023-07-18,https://www.anthropic.com/research/question-decomposition-improves-the-faithfulness-of-model-generated-reasoning,Foundational,Separate-context decomposition can improve faithfulness.
B,research,Persona vectors,2025,https://www.anthropic.com/research/persona-vectors,Current research,Traits such as sycophancy and hallucination correspond to steerable representations.
B,research,The assistant axis,2026-01-19,https://www.anthropic.com/research/assistant-axis,Current research,Immersive roleplay can shift models away from a stable assistant persona.
B,research,The persona selection model,2026,https://www.anthropic.com/research/persona-selection-model,Current research,Examples and roles can imply a wider bundle of character traits.
C,research,Constitutional AI: Harmlessness from AI Feedback,2022-12-15,https://www.anthropic.com/research/constitutional-ai-harmlessness-from-ai-feedback,Foundational,"Principle-based critique, revision, and AI feedback."
C,research,Specific versus General Principles for Constitutional AI,2023-10-24,https://www.anthropic.com/research/specific-versus-general-principles-for-constitutional-ai,Foundational,General principles aid generalization; specific principles add fine control.
B,research,Claude's Constitution,2026,https://www.anthropic.com/constitution,Current background,Model-character and priority background; not an application prompt template.
C,research,Discovering Language Model Behaviors with Model-Written Evaluations,2022-12-19,https://www.anthropic.com/research/discovering-language-model-behaviors-with-model-written-evaluations,Foundational,Model-generated evals can discover sycophancy and other behavior.
C,research,The Capacity for Moral Self-Correction in Large Language Models,2023-02-15,https://www.anthropic.com/research/the-capacity-for-moral-self-correction-in-large-language-models,Foundational,"Models can respond to high-level principles, with capability-dependent effects."
B,research,Claude's values across models and languages,2026-07-13,https://www.anthropic.com/research/claude-values-models-languages,Current research,Behavioral value profiles vary by model and language; run Korean evals.
C,research,Prompt engineering for Claude's long context window,2023-09-23,https://www.anthropic.com/research/prompting-long-context,Legacy evidence,"Historical evidence for quote extraction, examples, and placing the query late."
A,research,Trustworthy agents in practice,2026,https://www.anthropic.com/research/trustworthy-agents,Current,Calibrate act-versus-ask behavior and apply layered injection defense.
A,transparency,Anthropic's Transparency Hub,2026,https://www.anthropic.com/transparency/model-report,Current,"Model reports, behavior evaluations, and harness-level safety context."
