categories,title,description,url,snapshot
agents_extensions,Automate actions with hooks,"Run shell commands automatically when Claude Code edits files, finishes tasks, or needs input. Format code, send notifications, validate commands, and enforce project rules.",https://code.claude.com/docs/en/hooks-guide.md,2026-08-02
agents_extensions,Create plugins,"Create custom plugins to extend Claude Code with skills, agents, hooks, and MCP servers.",https://code.claude.com/docs/en/plugins.md,2026-08-02
agents_extensions,Extend Claude Code,"Understand when to use CLAUDE.md, Skills, subagents, hooks, MCP, and plugins.",https://code.claude.com/docs/en/features-overview.md,2026-08-02
agents_extensions,Extend Claude with skills,"Create, manage, and share skills to extend Claude's capabilities in Claude Code. Includes custom commands and bundled skills.",https://code.claude.com/docs/en/skills.md,2026-08-02
agents_extensions,How Claude Code works,"Understand the agentic loop, built-in tools, and how Claude Code interacts with your project.",https://code.claude.com/docs/en/how-claude-code-works.md,2026-08-02
agents_extensions,Orchestrate subagents at scale with dynamic workflows,"Dynamic workflows orchestrate many subagents from a script Claude writes and you can rerun. Use them for codebase audits, large migrations, and cross-checked research.",https://code.claude.com/docs/en/workflows.md,2026-08-02
agents_extensions,Orchestrate teams of Claude Code sessions,"Coordinate multiple Claude Code instances working together as a team, with shared tasks, inter-agent messaging, and centralized management.",https://code.claude.com/docs/en/agent-teams.md,2026-08-02
agents_extensions,Run agents in parallel,"Compare the ways Claude Code can take on multiple tasks at once: subagents, agent view, agent teams, and dynamic workflows.",https://code.claude.com/docs/en/agents.md,2026-08-02
agents_extensions,Run parallel sessions with worktrees,"Isolate parallel Claude Code sessions in separate git worktrees so changes don't collide. Covers the `--worktree` flag, subagent isolation, `.worktreeinclude`, cleanup, and non-git VCS hooks.",https://code.claude.com/docs/en/worktrees.md,2026-08-02
agents_extensions,Set up Claude Code in a monorepo or large codebase,"Configure Claude Code for monorepos and large single-tree codebases with nested CLAUDE.md files, sparse worktrees, code intelligence, and per-package skills so Claude stays focused on the code you're working in.",https://code.claude.com/docs/en/large-codebases.md,2026-08-02
agents_extensions;agent_sdk,Agent Skills in the SDK,Extend Claude with specialized capabilities using Agent Skills in the Claude Agent SDK,https://code.claude.com/docs/en/agent-sdk/skills.md,2026-08-02
agents_extensions;agent_sdk,Connect to external tools with MCP,"Configure MCP servers to extend your agent with external tools. Covers transport types, tool search for large tool sets, authentication, and error handling.",https://code.claude.com/docs/en/agent-sdk/mcp.md,2026-08-02
agents_extensions;agent_sdk,Get structured output from agents,"Return validated JSON from agent workflows using JSON Schema, Zod, or Pydantic. Get type-safe, structured data after multi-turn tool use.",https://code.claude.com/docs/en/agent-sdk/structured-outputs.md,2026-08-02
agents_extensions;agent_sdk,Give Claude custom tools,"Define custom tools with the Claude Agent SDK's in-process MCP server so Claude can call your functions, hit your APIs, and perform domain-specific operations.",https://code.claude.com/docs/en/agent-sdk/custom-tools.md,2026-08-02
agents_extensions;agent_sdk,Intercept and control agent behavior with hooks,Intercept and customize agent behavior at key execution points with hooks,https://code.claude.com/docs/en/agent-sdk/hooks.md,2026-08-02
