categories,section,title,description,url,snapshot
context_memory,Messages,Cache diagnostics (beta),Cache diagnostics,https://platform.claude.com/docs/en/build-with-claude/cache-diagnostics.md,2026-08-02
context_memory,Messages,Compaction,,https://platform.claude.com/docs/en/build-with-claude/compaction.md,2026-08-02
context_memory,Messages,Context editing,,https://platform.claude.com/docs/en/build-with-claude/context-editing.md,2026-08-02
context_memory,Messages,Context windows,,https://platform.claude.com/docs/en/build-with-claude/context-windows.md,2026-08-02
context_memory,Managed Agents,Dreams,,https://platform.claude.com/docs/en/managed-agents/dreams.md,2026-08-02
context_memory,Managed Agents,Memory stores,Using agent memory,https://platform.claude.com/docs/en/managed-agents/memory.md,2026-08-02
context_memory,Messages,Mid-conversation system messages and tool changes,,https://platform.claude.com/docs/en/build-with-claude/mid-conversation-system-messages.md,2026-08-02
context_memory,Messages,Prompt caching,,https://platform.claude.com/docs/en/build-with-claude/prompt-caching.md,2026-08-02
context_memory;skills_agents,Managed Agents,Session operations,,https://platform.claude.com/docs/en/managed-agents/session-operations.md,2026-08-02
context_memory;skills_agents,Managed Agents,Start a session,,https://platform.claude.com/docs/en/managed-agents/sessions.md,2026-08-02
context_memory;tools_output,Messages,Manage tool context,,https://platform.claude.com/docs/en/agents-and-tools/tool-use/manage-tool-context.md,2026-08-02
context_memory;tools_output,Messages,Memory tool,,https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool.md,2026-08-02
core_prompting,Best practices,Overview,Prompt engineering overview,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/overview.md,2026-08-02
core_prompting,Best practices,Prompting Claude Fable 5,,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-fable-5.md,2026-08-02
core_prompting,Best practices,Prompting Claude Opus 4.8,,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-4-8.md,2026-08-02
core_prompting,Best practices,Prompting Claude Opus 5,,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-5.md,2026-08-02
